u_location,u_name,u_quantity,u_special,u_type,u_upper,u_website
甘肃,兰州大学,本科,,综合,教育部,——
甘肃,兰州理工大学,本科,——,工科,甘肃省教育厅,http://www.gsut.edu.cn/
甘肃,甘肃农业大学,本科,——,农业,甘肃省教育厅,http://www.gsau.edu.cn/
甘肃,甘肃中医学院,本科,——,医药,甘肃省教育厅,http://www.gszy.edu.cn/
甘肃,西北师范大学,本科,——,师范,甘肃省教育厅,http://www.nwnu.edu.cn/
甘肃,天水师范学院,本科,——,师范,甘肃省教育厅,http://www.tsnc.edu.cn/
甘肃,河西学院,本科,——,综合,甘肃省教育厅,http://www.hxu.edu.cn/
甘肃,兰州财经大学,本科,——,财经,甘肃省教育厅,http://www.lzcc.edu.cn/
甘肃,甘肃政法学院,本科,——,政法,甘肃省教育厅,http://www.gsli.edu.cn/
河北,东北大学秦皇岛分校,本科,,工科,教育部,http://www.neuq.edu.cn
河北,华北电力大学(保定),本科,,工科,——,http://net.ncepu.edu.cn/
甘肃,兰州文理学院,高职专科,——,综合,甘肃省教育厅,http://www.luas.edu.cn
甘肃,兰州交通大学,本科,——,工科,甘肃省教育厅,http://www.lzjtu.edu.cn/
甘肃,西北民族大学,本科,——,民族,国家民族事务委员会,http://www.xbmu.edu.cn/
甘肃,陇东学院,本科,——,师范,甘肃省教育厅,http://www.ldxy.edu.cn/
甘肃,兰州城市学院,本科,——,综合,甘肃省教育厅,http://www.lzcu.edu.cn/
甘肃,合作民族师范高等专科学校,高职专科,——,师范,——,http://www.gnun.edu.cn
甘肃,兰州工业高等专科学校,高职专科,——,工科,甘肃省教育厅,http://www.lzit.edu.cn/
甘肃,兰州交通大学博文学院,独立学院,——,工科,甘肃省教育厅,http://www.bowenedu.cn/
甘肃,兰州理工大学技术工程学院,独立学院,——,工科,甘肃省教育厅,Http://www.lutcte.cn
甘肃,兰州石化职业技术学院,高职专科,——,工科,甘肃省教育厅,http://www.lzpcc.edu.cn/
甘肃,甘肃工业职业技术学院,高职专科,——,工科,甘肃省教育厅,http://www.gipc.edu.cn/
甘肃,甘肃建筑职业技术学院,高职专科,——,工科,甘肃省教育厅,http://www.gcvtc.edu.cn/
甘肃,甘肃警察职业学院,高职专科,——,政法,甘肃省教育厅,http://www.gs
甘肃,甘肃林业职业技术学院,高职专科,——,林业,甘肃省教育厅,http://www.gsfc.edu.cn/
甘肃,酒泉职业技术学院,高职专科,——,综合,甘肃省教育厅,http://www.jqzy.com/
甘肃,兰州外语职业学院,高职专科,——,综合,甘肃省教育厅,http://www.lzwyedu.com/http://www.lzcfs.com
河北,河北大学,本科,——,综合,河北省教育厅,www.hbu.edu.cn
河北,石家庄经济学院,本科,——,财经,河北省教育厅,www.sjzue.edu.cn
