,username,url,url_token,follower_count,articles_count,answer_count,gender,user_type
2803c329ab79d147d8ce96f8f90f8d4d,天软科技,https://www.zhihu.com/api/v4/people/84-27-66-25-58,84-27-66-25-58,82,46,48,0,people
9f175f498c4656412e8962af9bd8771e,聚宽量化内推,https://www.zhihu.com/api/v4/people/ju-kuan-liang-hua-nei-tui,ju-kuan-liang-hua-nei-tui,285,9,0,-1,people
a072cbf8e1785fcea9cdffc093aed6e5,quant.show,https://www.zhihu.com/api/v4/people/quant.show,quant.show,301,47,79,1,people
d30fbccf05322b0a18f52d80beb3cd45,肥肥量化,https://www.zhihu.com/api/v4/people/20-1-8-85,20-1-8-85,379,10,12,0,people
d5fbf1245ac86f6a72596d6fd75ae78b,量化投资世界,https://www.zhihu.com/api/v4/people/quant_world,quant_world,522,11,7,1,people
1f6b12d899fa77750bc3b0b061812367,小树苗,https://www.zhihu.com/api/v4/people/a-fei-de-xiao-hu-die-75,a-fei-de-xiao-hu-die-75,523,0,424,1,people
5ff91253e2adf884e3df73d9f22d2d78,想通了就好,https://www.zhihu.com/api/v4/people/lu-song-13-83,lu-song-13-83,537,19,28,1,people
1a9c21d98b02facf1756274b177d1724,董梦云,https://www.zhihu.com/api/v4/people/andydong1209,andydong1209,576,55,2,1,people
9416c023b139b27bdd3ed51941bbdd39,量化-南山,https://www.zhihu.com/api/v4/people/bu-dong-ru-shan-51-11,bu-dong-ru-shan-51-11,586,1,60,1,people
2cc42a73ac28095da42ad972f2d151cb,李一邨-量化投资,https://www.zhihu.com/api/v4/people/li-yicun-79,li-yicun-79,666,16,180,1,people
b22a5cef6751945f8255b1fee1d110cb,Brian Wu,https://www.zhihu.com/api/v4/people/wwqa-qu,wwqa-qu,671,2,6,1,people
27160ed1f4578162a08c3519a463896e,至简量化,https://www.zhihu.com/api/v4/people/feng-liao-de-mu-rong-fu,feng-liao-de-mu-rong-fu,689,75,102,1,people
d546a712ea226853cbc96da42a01cdef,PKU.ShowMaker,https://www.zhihu.com/api/v4/people/rain-33-4,rain-33-4,697,3,37,1,people
714d12c85f233ab2dc86f37ba9380bd1,空不异色,https://www.zhihu.com/api/v4/people/wu-ming-94-15-72,wu-ming-94-15-72,703,3,10,1,people
c04ccdeac64d80da85c2fbe0bf094a4e,华思远,https://www.zhihu.com/api/v4/people/hua-si-yuan,hua-si-yuan,709,16,24,1,people
1bd764f67d40fb6677426bbdcec1b3d6,西北地区唯一的王几,https://www.zhihu.com/api/v4/people/xi-bei-di-qu-wei-yi-de-wang-ji,xi-bei-di-qu-wei-yi-de-wang-ji,772,19,16,0,people
b7419b43c883fa9008993674bbe1c231,一年打卡百场路演,https://www.zhihu.com/api/v4/people/a-lei-18-69,a-lei-18-69,840,98,93,-1,people
bfb21e5af1e19f4783dd18b0b5928f8c,麻辣龙虾仁,https://www.zhihu.com/api/v4/people/bing-hong-cha-84-71,bing-hong-cha-84-71,885,33,93,-1,people
fee336c8e3ab19cfe85e44b072e94fa4,飞云金教,https://www.zhihu.com/api/v4/people/fei-yun-jin-jiao,fei-yun-jin-jiao,908,21,2,1,people
c180200a8af25f40627fe9b12abe946c,私募甄选家,https://www.zhihu.com/api/v4/people/huang-tai-de-47,huang-tai-de-47,940,76,80,1,people
47c525f0122b8ba4b218dba49e9bb4a5,偷吃狗狗的骨头,https://www.zhihu.com/api/v4/people/reseted1568969065531,reseted1568969065531,1141,0,202,1,people
6cd906084dab4e09803fe50d13c01a46,量化策略人工智能,https://www.zhihu.com/api/v4/people/qtaii,qtaii,1245,61,240,1,people
2597a49f50e3337a6b107391d2a9b721,量化狮,https://www.zhihu.com/api/v4/people/liang-hua-shi,liang-hua-shi,1317,11,26,1,people
2624bd715c3747c6effa3ac7f08b8655,金十交易学院,https://www.zhihu.com/api/v4/people/huan-qiu-xin-wen-she,huan-qiu-xin-wen-she,1321,540,162,0,people
567049f1909b800089ffaab7ba20ad40,Daivy,https://www.zhihu.com/api/v4/people/player_not_pay,player_not_pay,1331,10,1,1,people
d828310803fb16783a75bb5aa4c3a3d6,Lambda,https://www.zhihu.com/api/v4/people/quant-45,quant-45,1496,12,9,-1,people
37ee10484a7e91fd233c770884678800,钱多多,https://www.zhihu.com/api/v4/people/smub,smub,1542,89,562,1,people
1a7d5ed9cd94d34f55220d8bb50730eb,sliova,https://www.zhihu.com/api/v4/people/sliova,sliova,1556,1288,98,1,people
e2402133e15bc43aa55d7d8dfa363475,李乾,https://www.zhihu.com/api/v4/people/liqian-SF159152,liqian-SF159152,1559,5,20,1,people
1f3f5d679426c1fdd64d31e24e91c3d2,钱塘小甲子,https://www.zhihu.com/api/v4/people/qtlyx,qtlyx,1793,29,93,1,people
f8655ebddc58d3d6ae1c7eb31fcd7bc9,Vivian Zhou,https://www.zhihu.com/api/v4/people/sha-du-xiang-dong-17,sha-du-xiang-dong-17,1870,10,59,0,people
f0631b0ec9acc93d049701e9b5141d8b,随缘山人,https://www.zhihu.com/api/v4/people/huang-yun-long-36-73,huang-yun-long-36-73,1934,96,121,1,people
52cbbcadc2c54902ab6c134c08efab37,卡卡罗特,https://www.zhihu.com/api/v4/people/kxian-qi-shi,kxian-qi-shi,1977,109,12,-1,people
50c780481b74c803c1c4f115eefa093e,Kulolo,https://www.zhihu.com/api/v4/people/yang-en-yuan-89,yang-en-yuan-89,2003,4,24,1,people
2f2e832c95a5b080a569ebbb9e82d9cf,陈胜,https://www.zhihu.com/api/v4/people/chen-sheng-51-41-9,chen-sheng-51-41-9,2004,46,301,1,people
d9a2524f81a36f7963b06d6c602a2e28,小龙女,https://www.zhihu.com/api/v4/people/ni-na-46-28,ni-na-46-28,2010,62,240,0,people
14c7539369bca2fc510ac1c994f0d386,大空驴,https://www.zhihu.com/api/v4/people/sui-min-yan,sui-min-yan,2044,27,46,1,people
5680709d6eb49bfa5b07803d5d51161a,慕长风,https://www.zhihu.com/api/v4/people/Jiango.win,Jiango.win,2082,21,45,1,people
eb50cf383eefd4430ad02a3b7b9469f1,量化君也,https://www.zhihu.com/api/v4/people/rui-jin-66-37,rui-jin-66-37,2098,7,25,-1,people
